taxon,beta_age,table2_taxon,profile_taxon,model_file,model_species_id,match_status
Bacteroides xylanisolvens,2.28,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides_xylanisolvens_XB1A_AGORA1_03,matched
Alistipes shahii,1.53,Alistipes shahii,s__Alistipes_shahii,Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes_shahii_WAL_8301_AGORA1_03,matched
Bacteroidales bacterium ph8,1.51,,,,,unmatched
Klebsiella pneumoniae,1.12,Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,matched
Escherichia unclassified,1.02,,,,,unmatched
Parabacteroides merdae,0.95,Parabacteroides merdae,s__Parabacteroides_merdae,Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides_merdae_ATCC_43184_AGORA1_03,matched
Bacteroides dorei,0.68,Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03,matched
Alistipes onderdonkii,0.66,Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03,matched
Escherichia coli,0.27,Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03,matched
Bilophila unclassified,-6.82,Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03,matched
Ruminococcus torques,-1.22,Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03,matched
Faecalibacterium prausnitzii,-1.01,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,matched
