sample_id,id,abundance,file,table2_taxon,profile_taxon,model_file,model_species_id
21_40,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0047107290527785015,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides_xylanisolvens_XB1A_AGORA1_03
21_40,Alistipes_shahii_WAL_8301_AGORA1_03,0.01910388164059322,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes shahii,s__Alistipes_shahii,Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes_shahii_WAL_8301_AGORA1_03
21_40,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03
21_40,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.016956675372662145,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides merdae,s__Parabacteroides_merdae,Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides_merdae_ATCC_43184_AGORA1_03
21_40,Bacteroides_dorei_DSM_17855_AGORA1_03,0.06007127530628587,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03
21_40,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.0,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03
21_40,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.053555516095133766,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03
21_40,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03
21_40,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.08665579436196752,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03
21_40,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.758946128170579,/Users/taknev/Desktop/Project_Host_Microbiome_Interactions_Modelling/Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03
