scenario,age_group,diet,rank,species,species_short,biomass_flux,weight
allcohort_agebin_21_40,21_40,high_fiber,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.4078898325998843,0.758946128170579
allcohort_agebin_21_40,21_40,high_fiber,2,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,3.2848474248227796e-31,0.0866557943619675
allcohort_agebin_21_40,21_40,high_fiber,3,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_21_40,21_40,western,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.5460827516923314,0.758946128170579
allcohort_agebin_21_40,21_40,western,2,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_21_40,21_40,western,3,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,0.0,0.0191038816405932
allcohort_agebin_41_60,41_60,high_fiber,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.3517653720885323,0.6235721227371609
allcohort_agebin_41_60,41_60,high_fiber,2,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,0.3077628652443215,0.1470087604426173
allcohort_agebin_41_60,41_60,high_fiber,3,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_41_60,41_60,western,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.506046258071276,0.6235721227371609
allcohort_agebin_41_60,41_60,western,2,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,0.2186481429757889,0.1470087604426173
allcohort_agebin_41_60,41_60,western,3,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_61_70,61_70,high_fiber,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.40788983259988,0.8049498195994165
allcohort_agebin_61_70,61_70,high_fiber,2,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_61_70,61_70,high_fiber,3,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,0.0,0.0
allcohort_agebin_61_70,61_70,western,1,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,1.5460827516923317,0.8049498195994165
allcohort_agebin_61_70,61_70,western,2,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.0
allcohort_agebin_61_70,61_70,western,3,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,0.0,0.0
allcohort_agebin_71_80,71_80,high_fiber,1,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,2.5626158088795554,0.4488024582035857
allcohort_agebin_71_80,71_80,high_fiber,2,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,0.7329496270313707,0.2370810988590241
allcohort_agebin_71_80,71_80,high_fiber,3,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.1380956664475209
allcohort_agebin_71_80,71_80,western,1,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,2.5626158088805213,0.4488024582035857
allcohort_agebin_71_80,71_80,western,2,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,0.8050644997546945,0.2370810988590241
allcohort_agebin_71_80,71_80,western,3,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes onderdonkii,0.0,0.1380956664475209
allcohort_agebin_81_90,81_90,high_fiber,1,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,2.562615808879474,0.2455624290319014
allcohort_agebin_81_90,81_90,high_fiber,2,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,0.7329496270314093,0.235244202303197
allcohort_agebin_81_90,81_90,high_fiber,3,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,1.4455900770639205e-15,0.0580723517344556
allcohort_agebin_81_90,81_90,western,1,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,2.562615808879505,0.2455624290319014
allcohort_agebin_81_90,81_90,western,2,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,0.8050644997549837,0.235244202303197
allcohort_agebin_81_90,81_90,western,3,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,0.0,0.0430589638240466
