diet,exchange_id,uptake_bound,flux,uptake_flux,secretion_flux,abs_flux,metabolite_id,metabolite_formula,carbon_count,carbon_uptake_flux,at_uptake_bound
high_fiber,EX_h2o(e),10.0,-10.0,10.0,0.0,10.0,u__h2o_e_,H2O,0,0.0,True
high_fiber,EX_12dgr180(e),1.0,-1.0,1.0,0.0,1.0,u__12dgr180_e_,C39H76O5,39,39.0,True
high_fiber,EX_26dap_M(e),1.0,-1.0,1.0,0.0,1.0,u__26dap_M_e_,C7H14N2O4,7,7.0,True
high_fiber,EX_2obut(e),1.0,-1.0,1.0,0.0,1.0,u__2obut_e_,C4H5O3,4,4.0,True
high_fiber,EX_ac(e),1.0,-1.0,1.0,0.0,1.0,u__ac_e_,C2H3O2,2,2.0,True
high_fiber,EX_acgam(e),1.0,-1.0,1.0,0.0,1.0,u__acgam_e_,C8H15NO6,8,8.0,True
high_fiber,EX_acmana(e),1.0,-1.0,1.0,0.0,1.0,u__acmana_e_,C8H15NO6,8,8.0,True
high_fiber,EX_acnam(e),1.0,-1.0,1.0,0.0,1.0,u__acnam_e_,C11H18NO9,11,11.0,True
high_fiber,EX_adn(e),1.0,-1.0,1.0,0.0,1.0,u__adn_e_,C10H13N5O4,10,10.0,True
high_fiber,EX_ala_D(e),1.0,-1.0,1.0,0.0,1.0,u__ala_D_e_,C3H7NO2,3,3.0,True
high_fiber,EX_ala_L(e),1.0,-1.0,1.0,0.0,1.0,u__ala_L_e_,C3H7NO2,3,3.0,True
high_fiber,EX_cgly(e),1.0,-1.0,1.0,0.0,1.0,u__cgly_e_,C5H10N2O3S,5,5.0,True
high_fiber,EX_chol(e),1.0,-1.0,1.0,0.0,1.0,u__chol_e_,C5H14NO,5,5.0,True
high_fiber,EX_chor(e),1.0,-1.0,1.0,0.0,1.0,u__chor_e_,C10H8O6,10,10.0,True
high_fiber,EX_cit(e),1.0,-1.0,1.0,0.0,1.0,u__cit_e_,C6H5O7,6,6.0,True
high_fiber,EX_csn(e),1.0,-1.0,1.0,0.0,1.0,u__csn_e_,C4H5N3O,4,4.0,True
high_fiber,EX_cys_L(e),1.0,-1.0,1.0,0.0,1.0,u__cys_L_e_,C3H7NO2S,3,3.0,True
high_fiber,EX_dad_2(e),1.0,-1.0,1.0,0.0,1.0,u__dad_2_e_,C10H13N5O3,10,10.0,True
high_fiber,EX_dcyt(e),1.0,-1.0,1.0,0.0,1.0,u__dcyt_e_,C9H13N3O4,9,9.0,True
high_fiber,EX_dgsn(e),1.0,-1.0,1.0,0.0,1.0,u__dgsn_e_,C10H13N5O4,10,10.0,True
high_fiber,EX_fum(e),1.0,-1.0,1.0,0.0,1.0,u__fum_e_,C4H2O4,4,4.0,True
high_fiber,EX_gam(e),1.0,-1.0,1.0,0.0,1.0,u__gam_e_,C6H14NO5,6,6.0,True
high_fiber,EX_glyc3p(e),1.0,-1.0,1.0,0.0,1.0,u__glyc3p_e_,C3H7O6P,3,3.0,True
high_fiber,EX_gthox(e),1.0,-1.0,1.0,0.0,1.0,u__gthox_e_,C20H30N6O12S2,20,20.0,True
high_fiber,EX_gua(e),1.0,-1.0,1.0,0.0,1.0,u__gua_e_,C5H5N5O,5,5.0,True
high_fiber,EX_h(e),1.0,-1.0,1.0,0.0,1.0,u__h_e_,H,0,0.0,True
high_fiber,EX_hxan(e),1.0,-1.0,1.0,0.0,1.0,u__hxan_e_,C5H4N4O,5,5.0,True
high_fiber,EX_metsox_S_L(e),1.0,-1.0,1.0,0.0,1.0,u__metsox_S_L_e_,C5H11NO3S,5,5.0,True
high_fiber,EX_ncam(e),1.0,-1.0,1.0,0.0,1.0,u__ncam_e_,C6H6N2O,6,6.0,True
high_fiber,EX_nmn(e),1.0,-1.0,1.0,0.0,1.0,u__nmn_e_,C11H14N2O8P,11,11.0,True
high_fiber,EX_no2(e),1.0,-1.0,1.0,0.0,1.0,u__no2_e_,NO2,0,0.0,True
high_fiber,EX_no3(e),1.0,-1.0,1.0,0.0,1.0,u__no3_e_,NO3,0,0.0,True
high_fiber,EX_orn(e),1.0,-1.0,1.0,0.0,1.0,u__orn_e_,C5H13N2O2,5,5.0,True
high_fiber,EX_pi(e),1.0,-1.0,1.0,0.0,1.0,u__pi_e_,HO4P,0,0.0,True
high_fiber,EX_ptrc(e),1.0,-1.0,1.0,0.0,1.0,u__ptrc_e_,C4H14N2,4,4.0,True
high_fiber,EX_pydx(e),1.0,-1.0,1.0,0.0,1.0,u__pydx_e_,C8H9NO3,8,8.0,True
high_fiber,EX_ribflv(e),1.0,-1.0,1.0,0.0,1.0,u__ribflv_e_,C17H20N4O6,17,17.0,True
high_fiber,EX_sel(e),1.0,-1.0,1.0,0.0,1.0,u__sel_e_,O4Se,0,0.0,True
high_fiber,EX_ser_L(e),1.0,-1.0,1.0,0.0,1.0,u__ser_L_e_,C3H7NO3,3,3.0,True
high_fiber,EX_tyr_L(e),1.0,-1.0,1.0,0.0,1.0,u__tyr_L_e_,C9H11NO3,9,9.0,True
high_fiber,EX_uri(e),1.0,-1.0,1.0,0.0,1.0,u__uri_e_,C9H12N2O6,9,9.0,True
high_fiber,EX_glyc(e),0.89982743,-0.89982743,0.89982743,0.0,0.89982743,u__glyc_e_,C3H8O3,3,2.6994822899999997,True
high_fiber,EX_2dmmq8(e),1.0,-0.6540548949245153,0.6540548949245153,0.0,0.6540548949245153,u__2dmmq8_e_,C50H70O2,50,32.70274474622576,False
high_fiber,EX_amp(e),1.0,-0.5889300324844985,0.5889300324844985,0.0,0.5889300324844985,u__amp_e_,C10H12N5O7P,10,5.889300324844985,False
high_fiber,EX_phe_L(e),1.0,-0.5708434644421053,0.5708434644421053,0.0,0.5708434644421053,u__phe_L_e_,C9H11NO2,9,5.137591179978948,False
high_fiber,EX_ddca(e),1.0,-0.5200512056573174,0.5200512056573174,0.0,0.5200512056573174,u__ddca_e_,C12H23O2,12,6.240614467887809,False
high_fiber,EX_gly(e),0.45,-0.45,0.45,0.0,0.45,u__gly_e_,C2H5NO2,2,0.9,True
high_fiber,EX_asn_L(e),0.225,-0.225,0.225,0.0,0.225,u__asn_L_e_,C4H8N2O3,4,0.9,True
high_fiber,EX_asp_L(e),0.225,-0.225,0.225,0.0,0.225,u__asp_L_e_,C4H6NO4,4,0.9,True
high_fiber,EX_thr_L(e),0.225,-0.225,0.225,0.0,0.225,u__thr_L_e_,C4H9NO3,4,0.9,True
high_fiber,EX_gln_L(e),0.18,-0.18,0.18,0.0,0.18,u__gln_L_e_,C5H10N2O3,5,0.8999999999999999,True
high_fiber,EX_glu_L(e),0.18,-0.18,0.18,0.0,0.18,u__glu_L_e_,C5H8NO4,5,0.8999999999999999,True
high_fiber,EX_met_L(e),0.18,-0.18,0.18,0.0,0.18,u__met_L_e_,C5H11NO2S,5,0.8999999999999999,True
high_fiber,EX_pro_L(e),0.18,-0.18,0.18,0.0,0.18,u__pro_L_e_,C5H9NO2,5,0.8999999999999999,True
high_fiber,EX_val_L(e),0.18,-0.18,0.18,0.0,0.18,u__val_L_e_,C5H11NO2,5,0.8999999999999999,True
high_fiber,EX_arg_L(e),0.15,-0.15,0.15,0.0,0.15,u__arg_L_e_,C6H15N4O2,6,0.8999999999999999,True
high_fiber,EX_his_L(e),0.15,-0.15,0.15,0.0,0.15,u__his_L_e_,C6H9N3O2,6,0.8999999999999999,True
high_fiber,EX_ile_L(e),0.15,-0.15,0.15,0.0,0.15,u__ile_L_e_,C6H13NO2,6,0.8999999999999999,True
high_fiber,EX_leu_L(e),0.15,-0.15,0.15,0.0,0.15,u__leu_L_e_,C6H13NO2,6,0.8999999999999999,True
high_fiber,EX_lys_L(e),0.15,-0.15,0.15,0.0,0.15,u__lys_L_e_,C6H15N2O2,6,0.8999999999999999,True
high_fiber,EX_indole(e),1.0,-0.11839824495529487,0.11839824495529487,0.0,0.11839824495529487,u__indole_e_,C8H7N,8,0.947185959642359,False
high_fiber,EX_raffin(e),0.10416667,-0.10416667,0.10416667,0.0,0.10416667,u__raffin_e_,C18H32O16,18,1.87500006,True
high_fiber,EX_btn(e),1.0,-0.1,0.1,0.0,0.1,u__btn_e_,C10H15N2O3S,10,1.0,False
high_fiber,EX_ocdca(e),0.0846413,-0.0846413,0.0846413,0.0,0.0846413,u__ocdca_e_,C18H35O2,18,1.5235434,True
high_fiber,EX_trp_L(e),0.08181818,-0.08181818,0.08181818,0.0,0.08181818,u__trp_L_e_,C11H12N2O2,11,0.89999998,True
high_fiber,EX_strch1(e),0.06818182,-0.06818182,0.06818182,0.0,0.06818182,u__strch1_e_,C66H112O56,66,4.50000012,True
high_fiber,EX_kestopt(e),0.0625,-0.0625,0.0625,0.0,0.0625,u__kestopt_e_,C30H52O26,30,1.875,True
high_fiber,EX_thymd(e),1.0,-0.052292837426727135,0.052292837426727135,0.0,0.052292837426727135,u__thymd_e_,C10H14N2O5,10,0.5229283742672713,False
high_fiber,EX_arab_L(e),0.04736842,-0.04736842,0.04736842,0.0,0.04736842,u__arab_L_e_,C5H10O5,5,0.2368421,True
high_fiber,EX_drib(e),0.04736842,-0.04736842,0.04736842,0.0,0.04736842,u__drib_e_,C5H10O4,5,0.2368421,True
high_fiber,EX_rib_D(e),0.04736842,-0.04736842,0.04736842,0.0,0.04736842,u__rib_D_e_,C5H10O5,5,0.2368421,True
high_fiber,EX_xyl_D(e),0.04736842,-0.04736842,0.04736842,0.0,0.04736842,u__xyl_D_e_,C5H10O5,5,0.2368421,True
high_fiber,EX_fol(e),1.0,-0.045611483958253596,0.045611483958253596,0.0,0.045611483958253596,u__fol_e_,C19H18N7O6,19,0.8666181952068184,False
high_fiber,EX_fru(e),0.03947368,-0.03947368,0.03947368,0.0,0.03947368,u__fru_e_,C6H12O6,6,0.23684207999999998,True
high_fiber,EX_fuc_L(e),0.03947368,-0.03947368,0.03947368,0.0,0.03947368,u__fuc_L_e_,C6H12O5,6,0.23684207999999998,True
high_fiber,EX_gal(e),0.03947368,-0.03947368,0.03947368,0.0,0.03947368,u__gal_e_,C6H12O6,6,0.23684207999999998,True
