diet,species,pathway,sum_abs_flux,net_flux,n_active_reactions,n_biomass_reactions
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,"Transport, extracellular",185.64490146471704,-26.153491259684273,19,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Glycolysis/gluconeogenesis,73.08510227768774,26.09987710608097,9,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pentose phosphate pathway,52.32219548927528,-52.32219548927528,6,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alanine and aspartate metabolism,34.622531477639704,-22.84480410912809,4,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pyrimidine catabolism,23.896921057963365,21.189453704813534,2,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Fructose and mannose metabolism,16.98736150048221,16.98736150048221,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Purine catabolism,15.696658646782586,-15.696658646782586,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Tryptophan metabolism,11.432142805376358,11.432142805376358,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Nucleotide interconversion,11.118735906798946,0.2888664941996282,7,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Respiration,9.46079255403645,9.46079255403645,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Citric acid cycle,5.5552186951058715,5.5552186951058715,2,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Glutamate metabolism,4.554283727656062,4.554283727656062,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pyrimidine synthesis,1.353733676574915,1.353733676574915,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Sulfur metabolism,1.3537336765749148,1.3537336765749148,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Glycerophospholipid metabolism,1.3537336765749142,1.3537336765749142,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Arginine and proline metabolism,1.0009349674498091,0.3336449891499364,3,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Aminosugar metabolism,0.9999999999999999,0.9999999999999999,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Urea cycle,0.6672899782998729,-0.6672899782998729,2,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Pyruvate metabolism,0.3336449891499364,0.3336449891499364,1,0
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Oxidative phosphorylation,0.3336449891499357,0.3336449891499357,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Glycolysis/gluconeogenesis,531.3259816399122,140.351422935303,10,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",393.2251005139857,-57.179223232870406,58,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Pentose phosphate pathway,305.832344919147,279.94130429969596,9,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Pyruvate metabolism,147.3839559537707,-36.33146868063256,5,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Nucleotide interconversion,74.62783618830997,72.78209297797409,25,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Glycerophospholipid metabolism,44.92926525729503,-16.6253375506452,32,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Valine, leucine, and isoleucine metabolism",17.973260645901398,3.2040935323251896,14,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Fatty acid synthesis,17.17563879090634,17.17563879090634,53,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Purine catabolism,14.422379119602718,14.290241344323368,3,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Exchange/demand reaction,11.0829044351949,11.0829044351949,3,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Respiration,7.275229867660341,-5.989998886867031,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Terpenoid backbone biosynthesis,7.11465941926893,7.11465941926893,7,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Pyrimidine catabolism,5.568068113900387,5.568068113900387,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Alanine and aspartate metabolism,5.516583097063469,0.1671957792907539,7,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Lipopolysaccharide biosynthesis,4.897103236639653,4.897103236639653,30,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Arginine and proline metabolism,4.811604170374342,1.6038680567914474,6,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Methionine and cysteine metabolism,3.8671323469077836,1.2966703853211703,6,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Unassigned,3.6943014783983,3.6943014783983,1,1
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Propanoate metabolism,3.6839463513543516,-3.6839463513543516,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Fatty acid oxidation,3.683946351354351,3.683946351354351,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Histidine metabolism,2.9282511238376276,2.3426008990701024,10,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Glycine, serine, alanine, and threonine metabolism",2.713875239879985,1.6238137112885105,5,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Glutamate metabolism,2.6803514816005323,-2.6803514816005323,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Urea cycle,2.5266916360401686,-1.1417238718989944,4,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Phenylalanine metabolism,1.9999999999999998,0.0,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Citric acid cycle,1.765803083812592,1.765803083812592,3,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Cell wall biosynthesis,1.7555653112481775,1.0163799170384187,13,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Tyrosine metabolism,1.554171697586893,1.554171697586893,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Aminosugar metabolism,1.0163799170384187,1.0163799170384187,4,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Glutathione metabolism,1.0057197022639301,0.9942802977360699,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Squalene and cholesterol synthesis,0.9239817427621987,-0.9239817427621987,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Purine synthesis,0.8784753371512882,0.29282511238376274,3,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Folate metabolism,0.6886048655182687,0.5970896292953858,5,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Ubiquinone and other terpenoid-quinone biosynthesis,0.6426154903966549,0.6426154903966549,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Nucleotide salvage pathway,0.5002453631899137,0.5002453631899137,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Galactose metabolism,0.3695926971048795,0.3695926971048795,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Pyrimidine synthesis,0.33556079188587407,0.33556079188587407,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Pentose and glucuronate interconversions,0.2771945228286596,0.2771945228286596,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,CoA synthesis,0.19446987697362544,0.19446987697362544,9,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Cholesterol metabolism,0.1847963485524398,0.1847963485524398,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Nucleotide sugar metabolism,0.18479634855243976,0.18479634855243976,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,NAD metabolism,0.10295464075080564,0.10295464075080564,5,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Vitamin B12 metabolism,0.05719702263930167,0.05719702263930167,5,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Thiamine metabolism,0.022878809055720668,0.022878809055720668,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Vitamin B2 metabolism,0.022878809055720668,0.022878809055720668,2,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,beta-Alanine metabolism,0.022878809055720636,0.022878809055720636,1,0
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Vitamin B6 metabolism,0.011439404527860329,0.011439404527860329,1,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,"Transport, extracellular",153.7965191366868,5.0781631441989985,22,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Pyruvate metabolism,36.68285949590791,-2.9935462447783867,5,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Respiration,27.22496820027718,27.22496820027718,2,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Citric acid cycle,16.581185203042835,-2.3717600724017065,7,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,"Glycine, serine, alanine, and threonine metabolism",16.339206046625733,14.391953270774682,12,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Arginine and proline metabolism,16.24525990575354,10.238729448611807,5,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Glycolysis/gluconeogenesis,15.132822416190445,-4.014262317631292,7,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Folate metabolism,11.918691494410215,11.918691494410215,3,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Glutamate metabolism,7.361473883374273,7.361473883374273,2,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Urea cycle,6.006530457141734,-4.440892098500626e-16,2,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Miscellaneous,4.443547546397446,4.443547546397446,1,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Alanine and aspartate metabolism,3.752668297507312,-0.486813193962762,2,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Nucleotide interconversion,3.391864766877874,3.391864766877874,3,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Sulfur metabolism,0.9461866238638184,0.9461866238638184,1,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Aminosugar metabolism,0.5040386533333328,0.2520193266666664,4,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Pentose phosphate pathway,0.25991407333333333,0.25991407333333333,9,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Cell wall biosynthesis,0.2520193266666664,0.0,2,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Fructose and mannose metabolism,0.1973684,0.1973684,5,0
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Pentose and glucuronate interconversions,0.029129999999999996,0.014564999999999998,4,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,"Transport, extracellular",2220.9061344877173,23.183454849896698,23,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Glycolysis/gluconeogenesis,344.9002907738613,-3.063167150433705,12,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Respiration,246.43959482063516,246.43959482063516,2,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Nucleotide interconversion,204.8540943961333,39.954193947754106,13,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Citric acid cycle,106.0114822265871,106.0114822265871,4,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Miscellaneous,50.738900991292454,50.738900991292454,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,"Glycine, serine, alanine, and threonine metabolism",44.139127361032116,44.139127361032116,7,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pyrimidine catabolism,38.42285094900198,28.421961026828043,3,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Fructose and mannose metabolism,36.36936231684123,3.552713678800501e-15,2,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Starch and sucrose metabolism,36.36936231684123,0.0,2,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pyrimidine synthesis,28.421961026828047,28.421961026828047,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Folate metabolism,27.419568586802438,27.419568586802438,3,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Exchange/demand reaction,24.489266070989917,24.489266070989917,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pentose phosphate pathway,16.956609470289905,-6.3788003481159645,7,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,NAD metabolism,9.427552227944085,3.1425174093146944,3,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Glutamate metabolism,8.619804989943493,-8.619804989943493,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Purine catabolism,6.858372512859244,6.858372512859244,2,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pyruvate metabolism,5.055997663411555,4.5579456073940054,3,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Methionine and cysteine metabolism,3.1928674908433967,3.1928674908433967,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Fatty acid synthesis,3.1203072339439033,2.080204822629269,6,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Alanine and aspartate metabolism,1.8579275517722755,1.8579275517722755,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Purine synthesis,1.8579275517722749,1.8579275517722749,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Nucleotide salvage pathway,1.8579275517722746,1.8579275517722746,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Aminosugar metabolism,1.4370079567833962,1.4370079567833962,3,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Pentose and glucuronate interconversions,1.1538383999999997,0.5769191999999999,4,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,"Valine, leucine, and isoleucine metabolism",0.8319098984503495,0.8319098984503495,4,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Biotin metabolism,0.520051205657319,0.520051205657319,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Glycerophospholipid metabolism,0.5200512056573173,0.5200512056573173,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Fatty acid oxidation,0.5200512056573172,0.5200512056573172,1,0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Plant polysaccharide degradation,0.00071023,0.00071023,1,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,"Transport, extracellular",165.632476375169,9.42169878064599,14,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Glycolysis/gluconeogenesis,61.265938184703295,-9.727158050191402,6,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Pyruvate metabolism,56.019978535457426,18.673326178485812,3,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Citric acid cycle,47.188971903842884,-44.68392618827098,4,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Arginine and proline metabolism,45.71546549358702,25.904777953995122,6,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Alanine and aspartate metabolism,17.179593378170637,1.7763568394002505e-15,2,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Urea cycle,9.905343769795946,-9.905343769795946,1,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Glycerophospholipid metabolism,8.589796689085317,8.589796689085317,2,0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Glutamate metabolism,5.6104454252532925,5.6104454252532925,1,0
