diet,reaction_id,reaction_name,species,local_reaction_id,reaction_type,pathway,is_biomass_reaction,flux,abs_flux
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__ALAD_R,Alanine dehydrogenase (EC 1.4.1.1),Alistipes_onderdonkii_DSM_19147_AGORA1_03,ALAD_R,species_internal,Alanine and aspartate metabolism,False,-28.733667793383898,28.733667793383898
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__ALAt2r,L-Alanine Reversible Transport via Proton Symport,Alistipes_onderdonkii_DSM_19147_AGORA1_03,ALAt2r,species_internal,"Transport, extracellular",False,-28.733667793383898,28.733667793383898
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__CYTD,Cytidine Deaminase,Alistipes_onderdonkii_DSM_19147_AGORA1_03,CYTD,species_internal,Pyrimidine catabolism,False,22.54318738138845,22.54318738138845
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__CYTDt2r,"Cytidine Transport in via Proton Symport, Reversible",Alistipes_onderdonkii_DSM_19147_AGORA1_03,CYTDt2r,species_internal,"Transport, extracellular",False,22.543187381388446,22.543187381388446
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__URIt2r,Uridine Transport in via Proton Symport Reversible,Alistipes_onderdonkii_DSM_19147_AGORA1_03,URIt2r,species_internal,"Transport, extracellular",False,-21.189453704813534,21.189453704813534
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__MNLpts,mannitol transport via PEP:Pyr PTS,Alistipes_onderdonkii_DSM_19147_AGORA1_03,MNLpts,species_internal,"Transport, extracellular",False,16.987361500482212,16.987361500482212
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__M1PD,mannitol-1-phosphate 5-dehydrogenase,Alistipes_onderdonkii_DSM_19147_AGORA1_03,M1PD,species_internal,Fructose and mannose metabolism,False,16.98736150048221,16.98736150048221
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__H2Ot,H2O Transport via Diffusion,Alistipes_onderdonkii_DSM_19147_AGORA1_03,H2Ot,species_internal,"Transport, extracellular",False,-16.030303635932526,16.030303635932526
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__GSNt2r,Guanosine Transport in via Proton Symport Reversible,Alistipes_onderdonkii_DSM_19147_AGORA1_03,GSNt2r,species_internal,"Transport, extracellular",False,-15.696658646782586,15.696658646782586
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03__GUAt2,guanine transport in via proton symport,Alistipes_onderdonkii_DSM_19147_AGORA1_03,GUAt2,species_internal,"Transport, extracellular",False,15.696658646782586,15.696658646782586
