diet,species,biomass_reaction,biomass_flux
western_full_access,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,86.03195594630469
western_full_access,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,87.68295692884928
western_full_access,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,78.23729313111201
western_full_access,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,79.5233303412453
western_full_access,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,76.97244082962096
western_full_access,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,106.64314711021964
western_full_access,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,41.76060817361622
western_full_access,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,107.75927833204307
western_full_access,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,97.07386980437145
western_full_access,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,66.00595840124146
high_fiber_full_access,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,86.03195594630469
high_fiber_full_access,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,87.68295692884928
high_fiber_full_access,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,78.23729313111201
high_fiber_full_access,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,79.5233303412453
high_fiber_full_access,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,76.97244082962096
high_fiber_full_access,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,106.64314711021964
high_fiber_full_access,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,41.76060817361622
high_fiber_full_access,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,107.75927833204307
high_fiber_full_access,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,97.07386980437145
high_fiber_full_access,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,66.00595840124146
