diet,species,biomass_reaction,objective_coefficient,biomass_flux,objective_contribution,objective_contribution_fraction
western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,1.0,-7.75666841287205e-15,-7.75666841287205e-15,-1.805380688357478e-15
western,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,1.0,3.694301478398301,3.694301478398301,0.8598563443813918
western,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,1.0,0.0,0.0,0.0
western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
western,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,1.0,0.6021155946839541,0.6021155946839541,0.14014365561860984
western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,1.0,0.0,0.0,0.0
western,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,1.0,1.3924521095568085e-16,1.3924521095568085e-16,3.24096121459145e-17
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,1.0,5.906542654273321e-16,5.906542654273321e-16,1.4169712072135417e-16
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,1.0,3.6943014783988177,3.6943014783988177,0.886257686105133
high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,1.0,0.0,0.0,0.0
high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,1.0,0.47412666199262643,0.47412666199262643,0.11374231389487406
high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,1.0,0.0,0.0,0.0
high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,1.0,0.0,0.0,0.0
high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,1.0,-3.019935881073013e-14,-3.019935881073013e-14,-7.244783355649839e-15
