diet,species,status,exchange_id,uptake_bound,flux,uptake_flux,secretion_flux,abs_flux,metabolite_id,metabolite_formula,carbon_count,carbon_uptake_flux,in_diet_medium,at_uptake_bound,applied_exchanges,missing_exchanges
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_h(e),1.0,7.831623289843367,0.0,7.831623289843367,7.831623289843367,h[e],H,0,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_for(e),1.0,3.253800134567561,0.0,3.253800134567561,3.253800134567561,for[e],CH1O2,1,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_ac(e),1.0,2.7658437101102664,0.0,2.7658437101102664,2.7658437101102664,ac[e],C2H3O2,2,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_succ(e),,2.3453669298007003,0.0,2.3453669298007003,2.3453669298007003,succ[e],C4H4O4,4,0.0,False,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_nh4(e),,2.0775940387347407,0.0,2.0775940387347407,2.0775940387347407,nh4[e],H4N,0,0.0,False,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_h2o(e),10.0,1.182422702319691,0.0,1.182422702319691,1.182422702319691,h2o[e],H2O,0,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_26dap_M(e),1.0,-1.0,1.0,0.0,1.0,26dap_M[e],C7H14N2O4,7,7.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_ala_L(e),1.0,-1.0,1.0,0.0,1.0,ala_L[e],C3H7NO2,3,3.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_gam(e),1.0,-1.0,1.0,0.0,1.0,gam[e],C6H14NO5,6,6.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_glyc3p(e),1.0,-1.0,1.0,0.0,1.0,glyc3p[e],C3H7O6P,3,3.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_ser_L(e),1.0,-1.0,1.0,0.0,1.0,ser_L[e],C3H7NO3,3,3.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_uri(e),1.0,-1.0,1.0,0.0,1.0,uri[e],C9H12N2O6,9,9.0,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_dcyt(e),1.0,0.9608400324947325,0.0,0.9608400324947325,0.9608400324947325,dcyt[e],C9H13N3O4,9,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_lys_L(e),0.15,0.9412622245586288,0.0,0.9412622245586288,0.9412622245586288,lys_L[e],C6H15N2O2,6,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_glyc(e),0.89982743,-0.89982743,0.89982743,0.0,0.89982743,glyc[e],C3H8O3,3,2.6994822899999997,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_ppi(e),,0.35383014891083714,0.0,0.35383014891083714,0.35383014891083714,ppi[e],HO7P2,0,0.0,False,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_val_L(e),0.18,0.3392045099102048,0.0,0.3392045099102048,0.3392045099102048,val_L[e],C5H11NO2,5,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_asn_L(e),0.225,-0.225,0.225,0.0,0.225,asn_L[e],C4H8N2O3,4,0.9,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_asp_L(e),0.225,-0.225,0.225,0.0,0.225,asp_L[e],C4H6NO4,4,0.9,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_thr_L(e),0.225,-0.225,0.225,0.0,0.225,thr_L[e],C4H9NO3,4,0.9,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_4abut(e),,0.18,0.0,0.18,0.18,4abut[e],C4H9NO2,4,0.0,False,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_glu_L(e),0.18,-0.18,0.18,0.0,0.18,glu_L[e],C5H8NO4,5,0.8999999999999999,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_pi(e),1.0,0.1386964991234591,0.0,0.1386964991234591,0.1386964991234591,pi[e],HO4P,0,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_gln_L(e),0.18,-0.12251568797356353,0.12251568797356353,0.0,0.12251568797356353,gln_L[e],C5H10N2O3,5,0.6125784398678177,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_raffin(e),0.10416667,-0.10416667,0.10416667,0.0,0.10416667,raffin[e],C18H32O16,18,1.87500006,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_trp_L(e),0.08181818,-0.08181818,0.08181818,0.0,0.08181818,trp_L[e],C11H12N2O2,11,0.89999998,True,True,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_indole(e),1.0,0.07288749375198152,0.0,0.07288749375198152,0.07288749375198152,indole[e],C8H7N,8,0.0,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_adn(e),1.0,-0.05254029315799264,0.05254029315799264,0.0,0.05254029315799264,adn[e],C10H13N5O4,10,0.5254029315799265,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_arg_L(e),0.15,-0.04726185685676782,0.04726185685676782,0.0,0.04726185685676782,arg_L[e],C6H15N4O2,6,0.28357114114060694,True,False,72,92
high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1.03,optimal,EX_met_L(e),0.18,-0.04034446310409203,0.04034446310409203,0.0,0.04034446310409203,met_L[e],C5H11NO2S,5,0.20172231552046016,True,False,72,92
