step,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,PFK(ppi),"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase, beta subunit (EC 2.7.1.90)",11.215720581864908,f6p[c] + ppi[c] -> fdp[c] + h[c] + pi[c],,
2,FBA,Fructose-Bisphosphate Aldolase,16.32933787298195,fdp[c] -> dhap[c] + g3p[c],PFK(ppi),fdp[c]
3,GAPD,Glyceraldehyde-3-Phosphate Dehydrogenase,85.7865882518783,g3p[c] + nad[c] + pi[c] -> 13dpg[c] + h[c] + nadh[c],TPI,g3p[c]
4,PGK,Phosphoglycerate Kinase,-85.78658825187829,13dpg[c] + adp[c] -> 3pg[c] + atp[c],GAPD,13dpg[c]
5,PGM,Phosphoglycerate Mutase,-84.81736071047986,3pg[c] -> 2pg[c],PGK,3pg[c]
6,ENO,Enolase,84.81736071047986,2pg[c] -> h2o[c] + pep[c],PGM,2pg[c]
7,PYK,Pyruvate Kinase,100.3313106993743,adp[c] + h[c] + pep[c] -> atp[c] + pyr[c],ENO,pep[c]
8,TPI,Triose-Phosphate Isomerase,35.78219471589425,dhap[c] -> g3p[c],,
9,PFK,Phosphofructokinase,5.113617291117042,atp[c] + f6p[c] -> adp[c] + fdp[c] + h[c],,
10,PGI,Glucose-6-Phosphate Isomerase,-0.4619908713810082,f6p[c] -> g6p[c],,
11,PGMT,Phosphoglucomutase,-0.4619908713810082,g6p[c] -> g1p[c],,
