step,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous,biomass_adjacent_flag
1,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",D_LACt2,D-Lactate Transport via Proton Symport,-63.76064498650164,h[c] + lac_D[c] -> h[e] + lac_D[e],,,True
2,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",ADNCNT3tc,Adenosine Transport Cnt3,59.73981773390636,adn[e] + h[e] -> adn[c] + h[c],,,True
3,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",ADEt2r,"adenine transport in via proton symport, reversible",-59.3301381714595,ade[c] + h[c] -> ade[e] + h[e],,,True
4,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",H2Ot,H2O Transport via Diffusion,45.35357059798225,h2o[e] -> h2o[c],,,True
5,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",FORt2r,formate transport in via proton symport,-30.368125564922188,for[c] + h[c] -> for[e] + h[e],,,True
6,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",ACt2r,Acetate Reversible Transport via Proton Symport,-25.342914420199328,ac[c] + h[c] -> ac[e] + h[e],,,True
7,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",PIt6b,Transport of Orthophosphate,22.217902276346795,h[e] + pi[e] -> h[c] + pi[c],,,True
8,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",GLYC3Pt,glycerol-3-phosphate transport in via proton symport,-19.217902276346685,glyc3p[c] + h[c] -> glyc3p[e] + h[e],,,True
9,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",GSNt2r,Guanosine Transport in via Proton Symport Reversible,14.290241344323368,gsn[e] + h[e] -> gsn[c] + h[c],,,True
10,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,"Transport, extracellular",GUAt,Transport of Guanine,-13.72392709349378,gua[c] -> gua[e],,,True
