diet,species,shared_metabolite_id,shared_metabolite_name,connector_reaction_id,flux,abs_flux,direction,rank_within_species
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,h[e],proton,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__h_e_,110.19204031759703,110.19204031759703,secretion,1
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,lac_D[e],(R)-lactate,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__lac_D_e_,63.76064498650165,63.76064498650165,secretion,2
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,adn[e],Adenosine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__adn_e_,-59.73981773390637,59.73981773390637,uptake,3
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,ade[e],Adenine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__ade_e_,56.45176215651353,56.45176215651353,secretion,4
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,h2o[e],Water,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__h2o_e_,-45.35357059798225,45.35357059798225,uptake,5
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,ac[e],acetate,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__ac_e_,25.34291442019932,25.34291442019932,secretion,6
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,pi[e],hydrogenphosphate,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__pi_e_,-22.217902276346795,22.217902276346795,uptake,7
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,glyc3p[e],Glycerol 3-phosphate,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__glyc3p_e_,19.217902276346685,19.217902276346685,secretion,8
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,gsn[e],Guanosine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__gsn_e_,-14.29024134432337,14.29024134432337,uptake,9
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,gua[e],Guanine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__gua_e_,13.72392709349378,13.72392709349378,secretion,10
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,cytd[e],Cytidine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__cytd_e_,-5.878773645439597,5.878773645439597,uptake,11
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,co2[e],carbon dioxide,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__co2_e_,5.656466235956449,5.656466235956449,secretion,12
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,uri[e],Uridine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__uri_e_,5.232507322014512,5.232507322014512,secretion,13
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,val_L[e],L-valine,COMM__Alistipes_shahii_WAL_8301_AGORA1_03__val_L_e_,-3.025621827903773,3.025621827903773,uptake,14
high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,asp_L[e],L-aspartate(1-),COMM__Alistipes_shahii_WAL_8301_AGORA1_03__asp_L_e_,-2.894344523567077,2.894344523567077,uptake,15
