diet,species,shared_metabolite_id,shared_metabolite_name,connector_reaction_id,flux,abs_flux,direction,rank_within_species
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o[e],Water,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__h2o_e_,42.57970528091591,42.57970528091591,secretion,1
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h[e],proton,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__h_e_,-34.95860370806323,34.95860370806323,uptake,2
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,dcyt[e],Deoxycytidine,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__dcyt_e_,-10.053192442245455,10.053192442245455,uptake,3
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,co2[e],carbon dioxide,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__co2_e_,-9.756612763457504,9.756612763457504,uptake,4
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,asp_L[e],L-aspartate(1-),COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__asp_L_e_,8.354849863231157,8.354849863231157,secretion,5
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ura[e],uracil,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__ura_e_,6.76552765331008,6.76552765331008,secretion,6
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,but[e],butyrate,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__but_e_,3.876088351352352,3.876088351352352,secretion,7
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glu_L[e],L-glutamate(1-),COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__glu_L_e_,-2.384514034836946,2.384514034836946,uptake,8
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,glc_D[e],D-glucose,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__glc_D_e_,2.31605181,2.31605181,secretion,9
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gln_L[e],L-glutamine,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__gln_L_e_,2.069110171124345,2.069110171124345,secretion,10
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,acgam[e],N-acetyl-D-glucosamine,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__acgam_e_,1.857708514232614,1.857708514232614,secretion,11
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,fum[e],Fumarate,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__fum_e_,1.3329786800000014,1.3329786800000014,secretion,12
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gam[e],D-Glucosamine,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__gam_e_,-1.0,1.0,uptake,13
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,gthox[e],Oxidized glutathione,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__gthox_e_,-0.9942802977360712,0.9942802977360712,uptake,14
western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,ribflv[e],Riboflavin,COMM__Faecalibacterium_prausnitzii_M21_2__AGORA1_03__ribflv_e_,-0.9771211909442836,0.9771211909442836,uptake,15
