diet,shared_metabolite_id,shared_metabolite_name,producer_species,consumer_species,producer_flux,consumer_flux,candidate_score,crossfeeding_candidate,involves_focus_species
western,h2o[e],Water,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03,42.57970528091591,109.9352483051461,42.57970528091591,True,True
western,h2o[e],Water,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,42.57970528091591,49.71368596076437,42.57970528091591,True,True
western,h[e],proton,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,71.72762675336243,34.95860370806323,34.95860370806323,True,True
western,h2o[e],Water,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03,42.57970528091591,22.641287431585077,22.641287431585077,True,True
western,h[e],proton,Escherichia_coli_UTI89_UPEC_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,21.61656695462854,34.95860370806323,21.61656695462854,True,True
western,co2[e],carbon dioxide,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,24.478958181007272,9.756612763457504,9.756612763457504,True,True
western,co2[e],carbon dioxide,Bacteroides_dorei_DSM_17855_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,12.233945608340935,9.756612763457504,9.756612763457504,True,True
western,dcyt[e],Deoxycytidine,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,8.663821493566557,10.053192442245455,8.663821493566557,True,True
western,asp_L[e],L-aspartate(1-),Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,8.354849863231157,21.746607526875245,8.354849863231157,True,True
western,asp_L[e],L-aspartate(1-),Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,8.354849863231157,21.70230972475802,8.354849863231157,True,True
western,ura[e],uracil,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03,6.76552765331008,7.765527653310081,6.76552765331008,True,True
western,h[e],proton,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,6.226299305859681,34.95860370806323,6.226299305859681,True,True
western,but[e],butyrate,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,3.876088351352352,3.876088351352352,3.876088351352352,True,True
western,glu_L[e],L-glutamate(1-),Escherichia_coli_UTI89_UPEC_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,15.565904378347684,2.384514034836946,2.384514034836946,True,True
western,glc_D[e],D-glucose,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.31605181,2.3329786799999996,2.31605181,True,True
western,acgam[e],N-acetyl-D-glucosamine,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.857708514232614,6.660777493036956,1.857708514232614,True,True
western,gln_L[e],L-glutamine,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03,2.069110171124345,1.4718023203906347,1.4718023203906347,True,True
western,fum[e],Fumarate,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,1.3329786800000014,2.332978680000002,1.3329786800000014,True,True
western,h[e],proton,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.0726339175588058,34.95860370806323,1.0726339175588058,True,True
western,h[e],proton,Bilophila_wadsworthia_3_1_6_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.9331410843656682,34.95860370806323,0.9331410843656682,True,True
western,co2[e],carbon dioxide,Ruminococcus_torques_ATCC_27756_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.907601825723798,9.756612763457504,0.907601825723798,True,True
western,asn_L[e],L-asparagine,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,28.997488519966865,0.8854577717053228,0.8854577717053228,True,True
western,gln_L[e],L-glutamine,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,2.069110171124345,0.7773078507337104,0.7773078507337104,True,True
western,dcyt[e],Deoxycytidine,Bacteroides_dorei_DSM_17855_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.4474719525466732,10.053192442245455,0.4474719525466732,True,True
western,ala_L[e],L-alanine,Alistipes_shahii_WAL_8301_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,84.60205442219183,0.291599765580796,0.291599765580796,True,True
western,ala_L[e],L-alanine,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,1.6089508763382114,0.291599765580796,0.291599765580796,True,True
western,lys_L[e],L-lysinium(1+),Ruminococcus_torques_ATCC_27756_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.9076018257237988,0.1949048179992725,0.1949048179992725,True,True
western,lys_L[e],L-lysinium(1+),Bacteroides_xylanisolvens_XB1A_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.1918044062692761,0.1949048179992725,0.1918044062692761,True,True
western,h2o[e],Water,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03,42.57970528091591,0.1524075614309456,0.1524075614309456,True,True
western,thr_L[e],L-threonine,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,3.802697218691721,0.1124992777107942,0.1124992777107942,True,True
