scenario,diet,species,biomass_reaction,biomass_flux,weight
allcohort_agebin_21_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,1.4078898325998843,0.758946128170579
allcohort_agebin_21_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,3.2848474248227796e-31,0.0866557943619675
allcohort_agebin_21_40,high_fiber,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,0.0,0.0
allcohort_agebin_21_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,0.0,0.0191038816405932
allcohort_agebin_21_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,0.0,0.0600712753062858
allcohort_agebin_21_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,0.0,0.0047107290527785
allcohort_agebin_21_40,high_fiber,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,0.0,0.0
allcohort_agebin_21_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,0.0,0.0535555160951337
allcohort_agebin_21_40,high_fiber,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,0.0,0.0
allcohort_agebin_21_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,0.0,0.0169566753726621
allcohort_agebin_21_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium_prausnitzii_M21_2__AGORA1_03__biomass224,1.5460827516923314,0.758946128170579
allcohort_agebin_21_40,western,Alistipes_onderdonkii_DSM_19147_AGORA1_03,Alistipes_onderdonkii_DSM_19147_AGORA1_03__biomass419,0.0,0.0
allcohort_agebin_21_40,western,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes_shahii_WAL_8301_AGORA1_03__biomass399,0.0,0.0191038816405932
allcohort_agebin_21_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides_dorei_DSM_17855_AGORA1_03__biomass536,0.0,0.0600712753062858
allcohort_agebin_21_40,western,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides_xylanisolvens_XB1A_AGORA1_03__biomass525,0.0,0.0047107290527785
allcohort_agebin_21_40,western,Bilophila_wadsworthia_3_1_6_AGORA1_03,Bilophila_wadsworthia_3_1_6_AGORA1_03__biomass525,0.0,0.0
allcohort_agebin_21_40,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03__biomass525,0.0,0.0535555160951337
allcohort_agebin_21_40,western,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03__biomass525,0.0,0.0
allcohort_agebin_21_40,western,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides_merdae_ATCC_43184_AGORA1_03__biomass536,0.0,0.0169566753726621
allcohort_agebin_21_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus_torques_ATCC_27756_AGORA1_03__biomass525,0.0,0.0866557943619675
