scenario,diet,exchange_id,flux,uptake_flux,secretion_flux,abs_flux
beta_age_positive_only,high_fiber,EX_cys_L(e),1.0000000000000002,0.0,1.0000000000000002,1.0000000000000002
beta_age_positive_only,high_fiber,EX_acgam(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_acmana(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_acnam(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_adn(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_ala_D(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_cgly(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_cit(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_dad_2(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_dcyt(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_dgsn(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_fum(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_gam(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_glyc3p(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_gthox(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_ncam(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_nmn(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_no2(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_no3(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_orn(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_pi(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_ptrc(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_ser_L(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_uri(e),-1.0,1.0,0.0,1.0
beta_age_positive_only,high_fiber,EX_glyc(e),-0.89982743,0.89982743,0.0,0.89982743
beta_age_positive_only,high_fiber,EX_26dap_M(e),-0.788971023051829,0.788971023051829,0.0,0.788971023051829
beta_age_positive_only,high_fiber,EX_metsox_S_L(e),-0.7588066137356544,0.7588066137356544,0.0,0.7588066137356544
beta_age_positive_only,high_fiber,EX_2obut(e),-0.4560205583291148,0.4560205583291148,0.0,0.4560205583291148
beta_age_positive_only,high_fiber,EX_gly(e),-0.45,0.45,0.0,0.45
beta_age_positive_only,high_fiber,EX_asn_L(e),-0.225,0.225,0.0,0.225
beta_age_positive_only,high_fiber,EX_asp_L(e),-0.225,0.225,0.0,0.225
beta_age_positive_only,high_fiber,EX_thr_L(e),-0.225,0.225,0.0,0.225
beta_age_positive_only,high_fiber,EX_gln_L(e),-0.18,0.18,0.0,0.18
