table2_taxon,profile_taxon,model_file,model_species_id,median_abundance,normalized_weight
Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Models/vmh_agora_sbml/Bacteroides_xylanisolvens_XB1A_AGORA1.03.xml,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0017830566836258,0.0347070453629884
Alistipes shahii,s__Alistipes_shahii,Models/vmh_agora_sbml/Alistipes_shahii_WAL_8301_AGORA1.03.xml,Alistipes_shahii_WAL_8301_AGORA1_03,0.001624692484506,0.0316244998145499
Klebsiella pneumoniae,s__Klebsiella_pneumoniae,Models/vmh_agora_sbml/Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1.03.xml,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,0.0015675072867412,0.030511394846468635
Parabacteroides merdae,s__Parabacteroides_merdae,Models/vmh_agora_sbml/Parabacteroides_merdae_ATCC_43184_AGORA1.03.xml,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0068968053885267,0.13424572515134564
Bacteroides dorei,s__Bacteroides_dorei,Models/vmh_agora_sbml/Bacteroides_dorei_DSM_17855_AGORA1.03.xml,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0067625432987668,0.13163232509367007
Alistipes onderdonkii,s__Alistipes_onderdonkii,Models/vmh_agora_sbml/Alistipes_onderdonkii_DSM_19147_AGORA1.03.xml,Alistipes_onderdonkii_DSM_19147_AGORA1_03,0.0037800172619038,0.0735777116827247
Escherichia coli,s__Escherichia_coli,Models/vmh_agora_sbml/Escherichia_coli_UTI89_UPEC_AGORA1.03.xml,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0147749913352967,0.2875939386678078
Bilophila unclassified,s__Bilophila_wadsworthia,Models/vmh_agora_sbml/Bilophila_wadsworthia_3_1_6_AGORA1.03.xml,Bilophila_wadsworthia_3_1_6_AGORA1_03,0.0,0.0
Ruminococcus torques,s__Ruminococcus_torques,Models/vmh_agora_sbml/Ruminococcus_torques_ATCC_27756_AGORA1.03.xml,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0030287956610566,0.05895524767600428
Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Models/vmh_agora_sbml/Faecalibacterium_prausnitzii_M21_2._AGORA1.03.xml,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.0111560785451061,0.21715211170444057
