age_group,diet,id,table2_taxon,profile_taxon,model_species_id,abundance,growth_rate,abundance_weighted_contribution,rank_by_growth_rate,rank_by_contribution,grows_in_diet,growth_rate_full_access,grows_full_access,nongrowing_due_to_competition_or_diet
21_40,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.758946128170579,1.4093077197198902,1.0695886372823182,1,1,True,28.058684892853886,True,False
21_40,high_fiber,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0866557943619675,0.2269113591369554,0.019663184075766563,2,2,True,3.2045622647018073,True,False
21_40,high_fiber,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0600712753062858,0.1571514224375515,0.009440286362020576,3,3,True,2.2214166525711367,True,False
21_40,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0535555160951337,0.1439636336385117,0.007710046698441244,4,4,True,1.9804383150694695,True,False
21_40,high_fiber,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,s__Alistipes_shahii,Alistipes_shahii_WAL_8301_AGORA1_03,0.0191038816405932,0.0502465640927952,0.0009599044132752398,5,5,True,0.7064551671849957,True,False
21_40,high_fiber,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0169566753726621,0.04536233363945,0.0007691943656705433,6,6,True,0.6270535894776977,True,False
21_40,high_fiber,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0047107290527785,0.0133458556292132,6.286870984672211e-05,7,7,True,0.1776392160100909,True,False
21_40,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.758946128170579,1.5775931117433586,1.1973081839861976,1,1,True,28.058684892853886,True,False
21_40,western,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0866557943619675,0.2513103564097569,0.021777498566076657,2,2,True,3.2045622647018073,True,False
21_40,western,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0600712753062858,0.1737636820910512,0.010438205985125461,3,3,True,2.2214166525711367,True,False
