age_group,diet,pathway,sum_abs_flux,n_reactions
21_40,high_fiber,Lysine metabolism,3570.9330354682197,27
21_40,high_fiber,Folate metabolism,1772.3120791827605,5
21_40,high_fiber,Cell wall biosynthesis,0.0904479896018759,14
21_40,western,Lysine metabolism,3629.94514520227,27
21_40,western,Folate metabolism,1802.2168660954098,5
21_40,western,Cell wall biosynthesis,0.099998237684009,14
41_60,high_fiber,Lysine metabolism,3640.426442034058,20
41_60,high_fiber,Folate metabolism,1803.0802868950545,4
41_60,high_fiber,Cell wall biosynthesis,0.1868202958461344,10
41_60,western,Lysine metabolism,2010.0239406716528,20
41_60,western,Folate metabolism,988.0345323203765,4
41_60,western,Cell wall biosynthesis,0.2062066447375642,10
61_70,high_fiber,Lysine metabolism,3257.8374295476087,20
61_70,high_fiber,Folate metabolism,1615.3711001439087,4
61_70,high_fiber,Cell wall biosynthesis,0.068744994100088,10
61_70,western,Lysine metabolism,2026.2678631377041,20
61_70,western,Folate metabolism,1000.0,4
61_70,western,Cell wall biosynthesis,0.07818979396114681,10
71_80,high_fiber,Lysine metabolism,3928.1108014542187,27
71_80,high_fiber,Folate metabolism,1960.1287333366352,4
71_80,high_fiber,Cell wall biosynthesis,0.4718868006284806,14
71_80,western,Lysine metabolism,1757.8340836841028,27
71_80,western,Folate metabolism,874.9515824525557,4
71_80,western,Cell wall biosynthesis,0.5316605283570994,14
81_plus,high_fiber,Lysine metabolism,3732.239197937514,35
81_plus,high_fiber,Folate metabolism,1858.9370885962244,5
81_plus,high_fiber,Cell wall biosynthesis,0.9321438037527702,18
81_plus,western,Lysine metabolism,3713.100608467685,35
81_plus,western,Folate metabolism,1849.3448790587704,5
81_plus,western,Cell wall biosynthesis,0.9748001097514906,18
