id,reaction_id,flux,age_group,diet,abs_flux,reaction_name,pathway,text,is_lysine_related,is_biosyn_hint,is_butyrate_hint,pathway_class
Alistipes_shahii_WAL_8301_AGORA1_03,PAPPT3,0.0012567168145249,21_40,high_fiber,0.0012567168145249,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,UAAGDS,0.0012567168145249,21_40,high_fiber,0.0012567168145249,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,26DAPLLAT,0.0,21_40,high_fiber,0.0,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,ACCOALYS2,-0.0,21_40,high_fiber,0.0,Lysine biosynthesis AAA pathway 2/AcetylCoA to Lysine,Lysine metabolism,accoalys2 | lysine biosynthesis aaa pathway 2/acetylcoa to lysine | lysine metabolism,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,BUTKr,-0.0,21_40,high_fiber,0.0,"Butyrate kinase, reversible",Butanoate metabolism,"butkr | butyrate kinase, reversible | butanoate metabolism",True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,DAPE,0.0,21_40,high_fiber,0.0,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,LYSAM,-0.0,21_40,high_fiber,0.0,"Lysine 2,3-aminomutase (EC 5.4.3.2)",Lysine metabolism,"lysam | lysine 2,3-aminomutase (ec 5.4.3.2) | lysine metabolism",True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,PBUTT,-0.0,21_40,high_fiber,0.0,Phosphate butyryltransferase (EC 2.3.1.19),Butanoate metabolism,pbutt | phosphate butyryltransferase (ec 2.3.1.19) | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Alistipes_shahii_WAL_8301_AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,DAPMDH,,21_40,high_fiber,,,,dapmdh,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Alistipes_shahii_WAL_8301_AGORA1_03,SDPTA,,21_40,high_fiber,,,,sdpta,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,26DAPLLAT,-772.3191957540089,21_40,high_fiber,772.3191957540089,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPE,772.3191957540089,21_40,high_fiber,772.3191957540089,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPMDH,772.3146245334331,21_40,high_fiber,772.3146245334331,Meso-diaminopimelate D-dehydrogenase,Folate metabolism,dapmdh | meso-diaminopimelate d-dehydrogenase | folate metabolism,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,PAPPT3,0.0045712205758634,21_40,high_fiber,0.0045712205758634,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,UAAGDS,0.0045712205758634,21_40,high_fiber,0.0045712205758634,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimelate synthetase",Cell wall biosynthesis,"uaagds | udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimelate synthetase | cell wall biosynthesis",True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,BUTKr,-0.0,21_40,high_fiber,0.0,"Butyrate kinase, reversible",Butanoate metabolism,"butkr | butyrate kinase, reversible | butanoate metabolism",True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPDC,0.0,21_40,high_fiber,0.0,diaminopimelate decarboxylase,Lysine metabolism,dapdc | diaminopimelate decarboxylase | lysine metabolism,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,LYSAM,0.0,21_40,high_fiber,0.0,"Lysine 2,3-aminomutase (EC 5.4.3.2)",Lysine metabolism,"lysam | lysine 2,3-aminomutase (ec 5.4.3.2) | lysine metabolism",True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,PBUTT,-0.0,21_40,high_fiber,0.0,Phosphate butyryltransferase (EC 2.3.1.19),Butanoate metabolism,pbutt | phosphate butyryltransferase (ec 2.3.1.19) | butanoate metabolism,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,3ABUTCOAL,,21_40,high_fiber,,,,3abutcoal,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,ACCOALYS2,,21_40,high_fiber,,,,accoalys2,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,BTCOAACCOAT,,21_40,high_fiber,,,,btcoaaccoat,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,BTCOADH,,21_40,high_fiber,,,,btcoadh,True,False,True,lysine_to_butyrate_candidate
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPAT,,21_40,high_fiber,,,,dapat,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,DAPDA,,21_40,high_fiber,,,,dapda,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,SDPDS,,21_40,high_fiber,,,,sdpds,True,True,False,lysine_biosynthesis
Bacteroides_dorei_DSM_17855_AGORA1_03,SDPTA,,21_40,high_fiber,,,,sdpta,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,26DAPLLAT,-0.0012341713451671,21_40,high_fiber,0.0012341713451671,"L,L-diaminopimelate aminotransferase",Lysine metabolism,"26dapllat | l,l-diaminopimelate aminotransferase | lysine metabolism",True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,DAPE,0.0012341713451671,21_40,high_fiber,0.0012341713451671,diaminopimelate epimerase,Lysine metabolism,dape | diaminopimelate epimerase | lysine metabolism,True,True,False,lysine_biosynthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,PAPPT3,0.0012341713451671,21_40,high_fiber,0.0012341713451671,"phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)",Cell wall biosynthesis,"pappt3 | phospho-n-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate) | cell wall biosynthesis",True,True,False,lysine_biosynthesis
