age_group,diet,lysine_metabolism_flux,butanoate_metabolism_flux,btcoadh_flux,btcoaaccoat_flux,delta_lysine_minus_butanoate,downstream_butanoate_step_flux,butanoate_nonzero_flag
21_40,western,3629.94514520227,0.0,0.0,0.0,3629.94514520227,0.0,False
21_40,high_fiber,3570.9330354682197,0.0,0.0,0.0,3570.9330354682197,0.0,False
41_60,western,2010.0239406716528,0.0,0.0,0.0,2010.0239406716528,0.0,False
41_60,high_fiber,3640.426442034058,0.0,0.0,0.0,3640.426442034058,0.0,False
61_70,western,2026.267863137704,0.0,0.0,0.0,2026.267863137704,0.0,False
61_70,high_fiber,3257.8374295476087,0.0,0.0,0.0,3257.8374295476087,0.0,False
71_80,western,1757.8340836841028,75.16925416572963,37.58462708286481,37.58462708286481,1682.6648295183732,75.16925416572963,True
71_80,high_fiber,3928.1108014542183,93.21450656401908,46.60725328200954,46.60725328200954,3834.896294890199,93.21450656401908,True
81_plus,western,3713.100608467685,37.835932284237515,18.917966142118757,18.917966142118757,3675.2646761834476,37.835932284237515,True
81_plus,high_fiber,3732.239197937514,0.0,0.0,0.0,3732.239197937514,0.0,False
