age_group,id,abundance,table2_taxon,profile_taxon,model_species_id,species_label,diet,growth_rate,grows_in_diet,growth_rate_full_access,grows_full_access,nongrowing_due_to_competition_or_diet,lysine_contribution_abs_flux,butyrate_contribution_abs_flux,shown_in_growth_figure,rank_lysine_within_panel,rank_butyrate_within_panel
21_40,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.758946128170579,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,high_fiber,1.4093077197198902,True,28.058684892853886,True,False,3000.002545350673,0.0,True,1,1
21_40,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0600712753062858,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,high_fiber,0.1571514224375515,True,2.2214166525711367,True,False,2316.9621584826027,0.0,True,2,1
21_40,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0535555160951337,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,high_fiber,0.1439636336385117,True,1.9804383150694695,True,False,14.800411867849185,0.0,True,3,1
21_40,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0866557943619675,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,high_fiber,0.2269113591369554,True,3.2045622647018073,True,False,11.560357821326134,0.0,True,4,1
21_40,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0047107290527785,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,high_fiber,0.0133458556292132,True,0.1776392160100909,True,False,0.0049366853806684,0.0,True,5,1
21_40,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0169566753726621,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,high_fiber,0.04536233363945,True,0.6270535894776977,True,False,0.0026389991218086,0.0,True,6,1
21_40,Alistipes_shahii_WAL_8301_AGORA1_03,0.0191038816405932,Alistipes shahii,s__Alistipes_shahii,Alistipes_shahii_WAL_8301_AGORA1_03,Alistipes shahii,high_fiber,0.0502465640927952,True,0.7064551671849957,True,False,0.0025134336290498,0.0,True,7,1
21_40,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,0.758946128170579,Faecalibacterium prausnitzii,s__Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,Faecalibacterium prausnitzii,western,1.5775931117433586,True,28.058684892853886,True,False,2999.7758360612092,0.0,True,1,1
21_40,Bacteroides_dorei_DSM_17855_AGORA1_03,0.0600712753062858,Bacteroides dorei,s__Bacteroides_dorei,Bacteroides_dorei_DSM_17855_AGORA1_03,Bacteroides dorei,western,0.1737636820910512,True,2.2214166525711367,True,False,2406.9063771406354,0.0,True,2,1
21_40,Escherichia_coli_UTI89_UPEC_AGORA1_03,0.0535555160951337,Escherichia coli,s__Escherichia_coli,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia coli,western,0.1582574115010112,True,1.9804383150694695,True,False,14.006060139922901,0.0,True,3,1
21_40,Ruminococcus_torques_ATCC_27756_AGORA1_03,0.0866557943619675,Ruminococcus torques,s__Ruminococcus_torques,Ruminococcus_torques_ATCC_27756_AGORA1_03,Ruminococcus torques,western,0.2513103564097569,True,3.2045622647018073,True,False,11.56255678600203,0.0,True,4,1
21_40,Bacteroides_xylanisolvens_XB1A_AGORA1_03,0.0047107290527785,Bacteroides xylanisolvens,s__Bacteroides_xylanisolvens,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Bacteroides xylanisolvens,western,0.0148092776960422,True,0.1776392160100909,True,False,0.0054780110568768,0.0,True,5,1
21_40,Parabacteroides_merdae_ATCC_43184_AGORA1_03,0.0169566753726621,Parabacteroides merdae,s__Parabacteroides_merdae,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Parabacteroides merdae,western,0.0497389361345239,True,0.6270535894776977,True,False,0.002893612348562,0.0,True,6,1
