diet,pathway,age_group_a,age_group_b,sum_abs_flux_a,sum_abs_flux_b,delta_b_minus_a,abs_delta_b_minus_a
high_fiber,Nucleotide interconversion,40_60,60_plus,83222.74526437515,134586.318911248,51363.57364687286,51363.57364687286
high_fiber,Nucleotide interconversion,20_40,40_60,116323.63311833821,83222.74526437515,-33100.88785396307,33100.88785396307
high_fiber,"Valine, leucine, and isoleucine metabolism",40_60,60_plus,32016.943648190067,52545.44776965825,20528.50412146818,20528.50412146818
high_fiber,Nucleotide interconversion,20_40,60_plus,116323.63311833821,134586.318911248,18262.68579290979,18262.68579290979
high_fiber,Citric acid cycle,40_60,60_plus,22042.81564249827,37358.34609930537,15315.530456807097,15315.530456807097
high_fiber,"Valine, leucine, and isoleucine metabolism",20_40,40_60,44003.78493258669,32016.943648190067,-11986.841284396625,11986.841284396625
high_fiber,Citric acid cycle,20_40,40_60,32533.923549572377,22042.81564249827,-10491.107907074107,10491.107907074107
high_fiber,"Valine, leucine, and isoleucine metabolism",20_40,60_plus,44003.78493258669,52545.44776965825,8541.662837071555,8541.662837071555
high_fiber,Glycerophospholipid metabolism,40_60,60_plus,8064.441119664681,15946.940522312787,7882.499402648106,7882.499402648106
high_fiber,Aminosugar metabolism,20_40,40_60,7823.372628870362,159.59842622141613,-7663.774202648946,7663.774202648946
high_fiber,"Transport, extracellular",20_40,40_60,23481.922279163467,16333.736396054497,-7148.18588310897,7148.18588310897
high_fiber,Glutamate metabolism,20_40,40_60,12917.200017384312,6030.7711392251695,-6886.428878159142,6886.428878159142
high_fiber,Glutamate metabolism,40_60,60_plus,6030.7711392251695,12725.143152690593,6694.372013465423,6694.372013465423
high_fiber,Glycolysis/gluconeogenesis,40_60,60_plus,20752.087752131705,27402.990975298133,6650.903223166428,6650.903223166428
high_fiber,Exchange/demand reaction,20_40,40_60,13201.203375339574,6977.703363469656,-6223.500011869917,6223.500011869917
high_fiber,"Glycine, serine, alanine, and threonine metabolism",40_60,60_plus,16332.882544624867,22407.514335428732,6074.631790803865,6074.631790803865
high_fiber,Galactose metabolism,20_40,40_60,18048.65293175251,12032.60988814649,-6016.04304360602,6016.04304360602
high_fiber,Galactose metabolism,40_60,60_plus,12032.60988814649,18015.319515629646,5982.7096274831565,5982.7096274831565
high_fiber,Lysine metabolism,40_60,60_plus,8210.46881816975,2954.6558044904878,-5255.8130136792615,5255.8130136792615
high_fiber,Lysine metabolism,20_40,40_60,3085.580471764963,8210.46881816975,5124.888346404787,5124.888346404787
