id,reaction_id,reaction_name,pathway
Bacteroides_xylanisolvens_XB1A_AGORA1_03,12PPDt,"S-Propane-1,2-diol facilitated transport","Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,23DHMPO,"(R)-2,3-Dihydroxy-3-methylpentanoate:NADP+ oxidoreductase","Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,23PDE2,"2,3-Cyclic UMP 3-nucleotidohydrolase",Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,23PDE4,"2,3-Cyclic CMP 3-nucleotidohydrolase",Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,23PDE7,"2,3-Cyclic AMP 3-nucleotidohydrolase",Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,23PDE9,"2,3-Cyclic GMP 3-nucleotidohydrolase",Nucleotide interconversion
Bacteroides_xylanisolvens_XB1A_AGORA1_03,26DAPLLAT,"L,L-diaminopimelate aminotransferase",Lysine metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,2AHBUTI,(S)-2-Aceto-2-hydroxybutanoate isomerase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,2MBCOATA,2-methylbutanoyl-CoA[acyl-carrier-protein] transferase,Glycerophospholipid metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,2MMALD,(R)-2-methylmalate dehydratase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,2MMALD2,3-isopropylmalate/(R)-2-methylmalate dehydratase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,2OBUTt2r,"2-Oxobutanoate transport via proton symport, reversible","Transport, extracellular"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HACPR1,3-hydroxyacyl-ACP-dehydratase (FabZ),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HACPR2,3-hydroxyacyl-ACP-dehydratase (FabZ),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD10M11,10-methyl-3-hydroxy-undecanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD10M12,10-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD11M12,11-methyl-3-hydroxy-dodecanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD12M13,12-methyl-3-hydroxy-tridecanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD12M14,12-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD13M14,13-methyl-3-hydroxy-tetra-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD14M15,14-methyl-3-hydroxy-pentadecanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD14M16,14-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD15M16,15-methyl-3-hydroxy-hexa-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD4M5,4-methyl-3-hydroxy-pentanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD4M6,4-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD5M6,5-methyl-3-hydroxy-hexanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD6M7,6-methyl-3-hydroxy-heptanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD6M8,6-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD7M8,7-methyl-3-hydroxy-octanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD8M10,8-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD8M9,8-methyl-3-hydroxy-nonanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3HAD9M10,9-methyl-3-hydroxy-decanoyl-ACP hydro-lyase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3MOBS,3-methyl-2-oxobutanoate synthase,"Valine, leucine, and isoleucine metabolism"
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAACPR1,3-ketoacyl-ACP-reductase (FabG),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAACPR2,3-ketoacyl-ACP-reductase (FabG),Biotin metabolism
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR10M11,10-methyl-3-oxo-undecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR10M12,10-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR11M12,11-methyl-3-oxo-dodecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR12M13,12-methyl-3-oxo-tridecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR12M14,12-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR13M14,13-methyl-3-oxo-tetra-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR14M15,14-methyl-3-oxo-pentadecanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR14M16,14-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR15M16,15-methyl-3-oxo-hexa-decanoyl-ACPNADP+ oxidoreductase,Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),Fatty acid synthesis
Bacteroides_xylanisolvens_XB1A_AGORA1_03,3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),Fatty acid synthesis
