age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,environment,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_adn(e),exchange reaction for Adenosine,15.174725838299477,15.174725838299477,environment_exchange
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,environment,organism_exchange,,Bacteroides_dorei_DSM_17855_AGORA1_03,EX_adn(e),exchange reaction for Adenosine,0.0086180239528746,0.0086180239528746,environment_exchange
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,shared_metabolite,Parabacteroides_merdae_ATCC_43184_AGORA1_03,,EX_adn(e),exchange reaction for Adenosine,-100.0,100.0,organism_secretion
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,organism_exchange,Parabacteroides_merdae_ATCC_43184_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via Adenosine,15.174725838299477,15.174725838299477,crossfeeding_candidate
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,shared_metabolite,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_adn(e),exchange reaction for Adenosine,15.174725838299477,15.174725838299477,organism_uptake
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK11,adenylate kinase (dUTP),1000.0,1000.0,internal_processing
61_70,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,adn(e),Adenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),1000.0,1000.0,internal_processing
