step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK5,adenylate kinase (CTP),-1000.0,adp[c] + cdp[c] -> amp[c] + ctp[c],,
3,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),1000.0,amp[c] + dgtp[c] -> adp[c] + dgdp[c],,
4,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK1,Guanylate Kinase (GMP:ATP),1000.0,atp[c] + gmp[c] -> adp[c] + gdp[c],,
5,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,atp[c] + gdp[c] -> adp[c] + gtp[c],,
6,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),1000.0,atp[c] + dtdp[c] -> adp[c] + dttp[c],,
7,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,atp[c] + dgdp[c] -> adp[c] + dgtp[c],,
8,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,atp[c] + dcdp[c] -> adp[c] + dctp[c],,
9,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),-1000.0,adp[c] + datp[c] -> atp[c] + dadp[c],,
10,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,adp[c] + udp[c] -> amp[c] + utp[c],,
11,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK10,adenylate kinase (dTTP),999.9772173435967,amp[c] + dttp[c] -> adp[c] + dtdp[c],,
12,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),-999.7279540977536,adp[c] + utp[c] -> atp[c] + udp[c],,
13,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),999.7051714413504,amp[c] + dctp[c] -> adp[c] + dcdp[c],,
14,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK2,guanylate kinase (GMPdATP),-999.5413876672744,dadp[c] + gdp[c] -> datp[c] + gmp[c],,
15,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),999.1129759788838,amp[c] + gtp[c] -> adp[c] + gdp[c],,
16,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),-997.7449402028992,adp[c] + ctp[c] -> atp[c] + cdp[c],,
17,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK11,adenylate kinase (dUTP),-995.2965405186188,adp[c] + dudp[c] -> amp[c] + dutp[c],,
18,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),-995.0218627899708,adp[c] + dutp[c] -> atp[c] + dudp[c],,
19,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),4.882692225757856,adn[c] + pi[c] -> ade[c] + r1p[c],,
20,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,CYTK1,Cytidylate Kinase (CMP),2.2778424535040216,atp[c] + cmp[c] -> adp[c] + cdp[c],,
21,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,BPNT,"3, 5-Bisphosphate Nucleotidase",2.222178279723765,h2o[c] + pap[c] -> amp[c] + pi[c],,
22,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADSK,Adenylyl-Sulfate Kinase,2.2070323806077505,aps[c] + atp[c] -> adp[c] + h[c] + paps[c],,
23,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,SADT,Sulfate Adenylyltransferase,2.2070323806077505,atp[c] + h[c] + so4[c] -> aps[c] + ppi[c],,
24,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,PUNP7,Purine-Nucleoside Phosphorylase (Xanthosine),-1.102531661845558,r1p[c] + xan[c] -> pi[c] + xtsn[c],,
25,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,XTSNH,Xanthosine hydrolase,1.102531661845558,h2o[c] + xtsn[c] -> rib_D[c] + xan[c],,
26,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GSNK,guanosine kinase,0.8870240211162433,atp[c] + gsn[c] -> adp[c] + gmp[c] + h[c],,
27,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),-0.4813949891288303,adp[c] + dadp[c] -> amp[c] + datp[c],,
28,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UMPK,UMP Kinase,0.4513979864849715,atp[c] + ump[c] -> adp[c] + udp[c],,
29,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADSS,Adenylosuccinate Synthase,0.4284116883906642,asp_L[c] + gtp[c] + imp[c] -> dcamp[c] + gdp[c] + 2 h[c] + pi[c],,
30,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GMPR,GMP Reductase,0.4284116883906642,gmp[c] + 2 h[c] + nadph[c] -> imp[c] + nadp[c] + nh4[c],,
31,71_80,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADD,adenine deaminase,0.0247839577890121,ade[c] + h2o[c] + h[c] -> hxan[c] + nh4[c],,
