step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK11,adenylate kinase (dUTP),1000.0,amp[c] + dutp[c] -> adp[c] + dudp[c],,
3,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK5,adenylate kinase (CTP),-1000.0,adp[c] + cdp[c] -> amp[c] + ctp[c],,
4,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),-1000.0,adp[c] + dadp[c] -> amp[c] + datp[c],,
5,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),1000.0,amp[c] + dgtp[c] -> adp[c] + dgdp[c],,
6,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,atp[c] + gdp[c] -> adp[c] + gtp[c],,
7,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,atp[c] + dgdp[c] -> adp[c] + dgtp[c],,
8,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,atp[c] + dudp[c] -> adp[c] + dutp[c],,
9,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,atp[c] + dcdp[c] -> adp[c] + dctp[c],,
10,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),-1000.0,adp[c] + datp[c] -> atp[c] + dadp[c],,
11,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,adp[c] + udp[c] -> amp[c] + utp[c],,
12,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),999.6936498379958,amp[c] + dctp[c] -> adp[c] + dcdp[c],,
13,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),-999.3843359833288,adp[c] + utp[c] -> atp[c] + udp[c],,
14,71_80,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),999.0011246251908,amp[c] + gtp[c] -> adp[c] + gdp[c],,
