age_group,diet,species,shared_metabolite_id,shared_metabolite_name,reaction_id,reaction_name,flux,abs_flux,direction,medium_available_flag,exchange_class,rank_within_species
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,cholate(e),Cholate,BIACt1,"Bile acid transport, cholate",-990.9113662995412,990.9113662995412,internal,False,transport_only,1
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,BIACt4,"Bile acid transport, 7-Dehydrocholate",990.9113662995412,990.9113662995412,internal,False,transport_only,2
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,BIACt1,"Bile acid transport, cholate",-990.9113662995412,990.9113662995412,internal,False,transport_only,3
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,7ocholate(e),"3alpha,12alpha-Dihydroxy-7-oxo-5beta-cholanate",BIACt4,"Bile acid transport, 7-Dehydrocholate",990.9113662995412,990.9113662995412,internal,False,transport_only,4
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,h(e),proton,ACt2r,Acetate Reversible Transport via Proton Symport,-111.27358235653544,111.27358235653544,internal,False,transport_only,5
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,ac(e),acetate,EX_ac(e),Acetate exchange,111.27358235653544,111.27358235653544,uptake,True,diet_uptake,6
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,ac(e),acetate,ACt2r,Acetate Reversible Transport via Proton Symport,-111.27358235653544,111.27358235653544,internal,False,transport_only,7
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,h2o(e),Water,H2Ot,H2O Transport via Diffusion,110.03802835949614,110.03802835949614,internal,False,transport_only,8
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,acald(e),acetaldehyde,EX_acald(e),Acetaldehyde exchange,-100.0,100.0,secretion,False,transport_only,9
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,etoh(e),ethanol,EX_etoh(e),Ethanol exchange,-100.0,100.0,secretion,False,transport_only,10
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,asp_L(e),L-aspartate(1-),EX_asp_L(e),L-Aspartate exchange,-100.0,100.0,secretion,True,diet_secretion,11
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,h2o(e),Water,EX_h2o(e),H2O exchange,-100.0,100.0,secretion,True,diet_secretion,12
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,etoh(e),ethanol,ETOHt,Ethanol Reversible Transport,100.0,100.0,internal,False,transport_only,13
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,asp_L(e),L-aspartate(1-),ASPabc,L-aspartate transport via ABC system,100.0,100.0,internal,False,transport_only,14
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,acald(e),acetaldehyde,ACALDt,Acetaldehyde Reversible Transport,100.0,100.0,internal,False,transport_only,15
