age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,environment,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,13.387383525451042,13.387383525451042,environment_exchange
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,environment,organism_exchange,,Parabacteroides_merdae_ATCC_43184_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,7.32388937651224,7.32388937651224,environment_exchange
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,environment,organism_exchange,,Alistipes_onderdonkii_DSM_19147_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,0.2908145944947762,0.2908145944947762,environment_exchange
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Alistipes_shahii_WAL_8301_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-100.0,100.0,organism_secretion
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-100.0,100.0,organism_secretion
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Bacteroides_xylanisolvens_XB1A_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-0.2859531418083308,0.2859531418083308,organism_secretion
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,13.387383525451042,13.387383525451042,crossfeeding_candidate
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,13.387383525451042,13.387383525451042,crossfeeding_candidate
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,0.2859531418083308,0.2859531418083308,crossfeeding_candidate
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,shared_metabolite,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,13.387383525451042,13.387383525451042,organism_uptake
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK3,Adentylate Kinase (GTP),-1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK5,adenylate kinase (CTP),-1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK7,adenylate kinase (dATP),-1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK9,adenylate kinase (dGTP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),-1000.0,1000.0,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,UTPATPT,Uridine triphosphate:AMP phosphotransferase,999.613047719867,999.613047719867,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK11,adenylate kinase (dUTP),999.6093042662123,999.6093042662123,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK8,adenylate kinase (dCTP),999.5806421560636,999.5806421560636,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),-999.3476796144332,999.3476796144332,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),-996.79245111535,996.79245111535,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,PUNP1,Purine-Nucleoside Phosphorylase (Adenosine),14.783430666312146,14.783430666312146,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,CYTK1,Cytidylate Kinase (CMP),3.2399544484536307,3.2399544484536307,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,NDPK4,Nucleoside-Diphosphate Kinase (ATP:dTDP),2.555854706882295,2.555854706882295,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK10,adenylate kinase (dTTP),2.523449143078764,2.523449143078764,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADD,adenine deaminase,0.7866835066709608,0.7866835066709608,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,GK1,Guanylate Kinase (GMP:ATP),0.6847259493703177,0.6847259493703177,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,GSNK,guanosine kinase,0.652320385566787,0.652320385566787,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,UMPK,UMP Kinase,0.6420588535811007,0.6420588535811007,internal_processing
81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,RNDR3,Ribonucleoside-Diphosphate Reductase (CDP),0.0324055638035361,0.0324055638035361,internal_processing
