step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK3,Adentylate Kinase (GTP),-1000.0,adp[c] + gdp[c] -> amp[c] + gtp[c],,
3,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK5,adenylate kinase (CTP),-1000.0,adp[c] + cdp[c] -> amp[c] + ctp[c],,
4,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),-1000.0,adp[c] + dadp[c] -> amp[c] + datp[c],,
5,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),1000.0,amp[c] + dgtp[c] -> adp[c] + dgdp[c],,
6,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),1000.0,atp[c] + udp[c] -> adp[c] + utp[c],,
7,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),1000.0,atp[c] + dgdp[c] -> adp[c] + dgtp[c],,
8,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,atp[c] + dudp[c] -> adp[c] + dutp[c],,
9,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),1000.0,atp[c] + dcdp[c] -> adp[c] + dctp[c],,
10,81_plus,high_fiber,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK8,Nucleoside-Diphosphate Kinase (ATP:dADP),-1000.0,adp[c] + datp[c] -> atp[c] + dadp[c],,
