age_group,diet,species,shared_metabolite_id,shared_metabolite_name,reaction_id,reaction_name,flux,abs_flux,direction,medium_available_flag,exchange_class,rank_within_species
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o(e),Water,H2Ot,H2O Transport via Diffusion,-190.4938434084754,190.4938434084754,internal,False,transport_only,1
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o(e),Water,EX_h2o(e),H2O exchange,186.23802499598457,186.23802499598457,uptake,True,diet_uptake,2
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,D_LACt2,D-Lactate Transport via Proton Symport,100.0,100.0,internal,False,transport_only,3
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,lac_D(e),(R)-lactate,EX_lac_D(e),D-lactate exchange,-100.0,100.0,secretion,False,transport_only,4
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,lac_D(e),(R)-lactate,D_LACt2,D-Lactate Transport via Proton Symport,100.0,100.0,internal,False,transport_only,5
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,fum(e),Fumarate,EX_fum(e),exchange reaction for fumarate,73.8168221540143,73.8168221540143,uptake,True,diet_uptake,6
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,fum(e),Fumarate,FUMt2r,fumarate reversible transport via symport,-73.8168221540143,73.8168221540143,internal,False,transport_only,7
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,FUMt2r,fumarate reversible transport via symport,-73.8168221540143,73.8168221540143,internal,False,transport_only,8
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,co2(e),carbon dioxide,CO2t,CO2 Transporter via Diffusion,64.05515515243556,64.05515515243556,internal,False,transport_only,9
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,co2(e),carbon dioxide,EX_co2(e),CO2 exchange,-64.05515515243556,64.05515515243556,secretion,False,transport_only,10
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,EX_h(e),exchange reaction for proton,-63.74444733459316,63.74444733459316,secretion,True,diet_secretion,11
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,acald(e),acetaldehyde,EX_acald(e),Acetaldehyde exchange,52.420579307347055,52.420579307347055,uptake,False,transport_only,12
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,acald(e),acetaldehyde,ACALDt,Acetaldehyde Reversible Transport,-52.420579307347055,52.420579307347055,internal,False,transport_only,13
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,ASPt2r,L-aspartate reversible transport via proton symport,-48.51186423188672,48.51186423188672,internal,False,transport_only,14
81_plus,high_fiber,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,asp_L(e),L-aspartate(1-),EX_asp_L(e),L-Aspartate exchange,48.51186423188672,48.51186423188672,uptake,True,diet_uptake,15
