age_group,diet,species,pathway,metabolite_id,metabolite_name,layer_from,layer_to,species_from,species_to,reaction_id,reaction_name,flux,abs_flux,role
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,environment,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,16.84858816630197,16.84858816630197,environment_exchange
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,environment,organism_exchange,,Alistipes_onderdonkii_DSM_19147_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,0.1158157873855271,0.1158157873855271,environment_exchange
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Alistipes_shahii_WAL_8301_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-100.0,100.0,organism_secretion
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-100.0,100.0,organism_secretion
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,shared_metabolite,Bacteroides_xylanisolvens_XB1A_AGORA1_03,,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,-0.2669637225489347,0.2669637225489347,organism_secretion
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Alistipes_shahii_WAL_8301_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,16.84858816630197,16.84858816630197,crossfeeding_candidate
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Klebsiella_pneumoniae_pneumoniae_MGH78578_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,16.84858816630197,16.84858816630197,crossfeeding_candidate
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,organism_exchange,Bacteroides_xylanisolvens_XB1A_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,,Cross-feeding candidate via 2-deoxyadenosine,0.2669637225489347,0.2669637225489347,crossfeeding_candidate
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,shared_metabolite,organism_exchange,,Escherichia_coli_UTI89_UPEC_AGORA1_03,EX_dad_2(e),exchange reaction for 2-deoxyadenosine,16.84858816630197,16.84858816630197,organism_uptake
81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,dad_2(e),2-deoxyadenosine,organism_exchange,species_internal,Escherichia_coli_UTI89_UPEC_AGORA1_03,Escherichia_coli_UTI89_UPEC_AGORA1_03,ADK1,Adenylate Kinase,-1000.0,1000.0,internal_processing
