step,age_group,diet,species,pathway,reaction_id,reaction_name,flux,equation_in_flux_direction,incoming_from,shared_metabolites_from_previous
1,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK1,Adenylate Kinase,-1000.0,2 adp[c] -> amp[c] + atp[c],,
2,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK7,adenylate kinase (dATP),1000.0,amp[c] + datp[c] -> adp[c] + dadp[c],,
3,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK8,adenylate kinase (dCTP),-1000.0,adp[c] + dcdp[c] -> amp[c] + dctp[c],,
4,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK9,adenylate kinase (dGTP),-1000.0,adp[c] + dgdp[c] -> amp[c] + dgtp[c],,
5,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK1,Guanylate Kinase (GMP:ATP),1000.0,atp[c] + gmp[c] -> adp[c] + gdp[c],,
6,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK1,Nucleoside-Diphosphate Kinase (ATP:GDP),1000.0,atp[c] + gdp[c] -> adp[c] + gtp[c],,
7,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK3,Nucleoside-Diphosphate Kinase (ATP:CDP),1000.0,atp[c] + cdp[c] -> adp[c] + ctp[c],,
8,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK5,Nucleoside-Diphosphate Kinase (ATP:dGDP),-1000.0,adp[c] + dgtp[c] -> atp[c] + dgdp[c],,
9,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK6,Nucleoside-Diphosphate Kinase (ATP:dUDP),1000.0,atp[c] + dudp[c] -> adp[c] + dutp[c],,
10,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,UTPATPT,Uridine triphosphate:AMP phosphotransferase,-1000.0,adp[c] + udp[c] -> amp[c] + utp[c],,
11,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK7,Nucleoside-Diphosphate Kinase (ATP:dCDP),-999.9661122704474,adp[c] + dctp[c] -> atp[c] + dcdp[c],,
12,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,NDPK2,Nucleoside-Diphosphate Kinase (ATP:UDP),-999.5953492956216,adp[c] + utp[c] -> atp[c] + udp[c],,
13,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,ADK11,adenylate kinase (dUTP),999.5914346238752,amp[c] + dutp[c] -> adp[c] + dudp[c],,
14,81_plus,western,Escherichia_coli_UTI89_UPEC_AGORA1_03,Nucleotide interconversion,GK2,guanylate kinase (GMPdATP),-999.3178437831936,dadp[c] + gdp[c] -> datp[c] + gmp[c],,
