age_group,diet,species,shared_metabolite_id,shared_metabolite_name,reaction_id,reaction_name,flux,abs_flux,direction,medium_available_flag,exchange_class,rank_within_species
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o(e),Water,H2Ot,H2O Transport via Diffusion,-237.36461768043927,237.36461768043927,internal,False,transport_only,1
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h2o(e),Water,EX_h2o(e),H2O exchange,226.3767451591333,226.3767451591333,uptake,True,diet_uptake,2
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,D_LACt2,D-Lactate Transport via Proton Symport,100.0,100.0,internal,False,transport_only,3
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,lac_D(e),(R)-lactate,D_LACt2,D-Lactate Transport via Proton Symport,100.0,100.0,internal,False,transport_only,4
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,EX_h(e),exchange reaction for proton,-100.0,100.0,secretion,True,diet_secretion,5
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,lac_D(e),(R)-lactate,EX_lac_D(e),D-lactate exchange,-100.0,100.0,secretion,False,transport_only,6
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,asp_L(e),L-aspartate(1-),ASPt2r,L-aspartate reversible transport via proton symport,-91.61245220590612,91.61245220590612,internal,False,transport_only,7
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,ASPt2r,L-aspartate reversible transport via proton symport,-91.61245220590612,91.61245220590612,internal,False,transport_only,8
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,asp_L(e),L-aspartate(1-),EX_asp_L(e),L-Aspartate exchange,91.61245220590612,91.61245220590612,uptake,True,diet_uptake,9
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,etoh(e),ethanol,EX_etoh(e),Ethanol exchange,64.23729105173182,64.23729105173182,uptake,False,transport_only,10
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,etoh(e),ethanol,ETOHt,Ethanol Reversible Transport,-64.23729105173182,64.23729105173182,internal,False,transport_only,11
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,for(e),Formate,EX_for(e),Formate exchange,-61.46252802157183,61.46252802157183,secretion,True,diet_secretion,12
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,for(e),Formate,FORt2r,formate transport in via proton symport,61.46252802157183,61.46252802157183,internal,False,transport_only,13
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,h(e),proton,FORt2r,formate transport in via proton symport,61.46252802157183,61.46252802157183,internal,False,transport_only,14
81_plus,western,Faecalibacterium_prausnitzii_M21_2__AGORA1_03,fum(e),Fumarate,EX_fum(e),exchange reaction for fumarate,59.69056584050854,59.69056584050854,uptake,True,diet_uptake,15
