tradeoff_fraction,age_group,diet,status,community_growth_rate,n_organisms,n_growing_in_diet,fraction_growing_in_diet,applied_exchanges,missing_exchanges,note
0.0,21_40,high_fiber,optimal,0.005140571098257875,10,7,0.7,129,35,
0.1,21_40,high_fiber,optimal,0.23158865310757745,10,7,0.7,129,35,
0.2,21_40,high_fiber,optimal,0.46347097933031917,10,7,0.7,129,35,
0.3,21_40,high_fiber,optimal,0.6952493851678608,10,7,0.7,129,35,
0.4,21_40,high_fiber,optimal,0.9272247507790881,10,7,0.7,129,35,
0.5,21_40,high_fiber,optimal,1.1081320157218175,10,7,0.7,129,35,
0.6,21_40,high_fiber,optimal,1.114954787021817,10,7,0.7,129,35,
0.7,21_40,high_fiber,optimal,1.123142358403245,10,7,0.7,129,35,
0.8,21_40,high_fiber,optimal,1.1329262238543927,10,7,0.7,129,35,
0.9,21_40,high_fiber,optimal,1.1423207616193756,10,7,0.7,129,35,
1.0,21_40,high_fiber,optimal,1.1415545816623847,10,7,0.7,129,35,
0.0,21_40,western,optimal,0.003435941494076754,10,7,0.7,129,35,
0.1,21_40,western,optimal,0.2535019020836903,10,7,0.7,129,35,
0.2,21_40,western,optimal,0.5074847798458881,10,7,0.7,129,35,
0.3,21_40,western,optimal,0.7612321756828576,10,7,0.7,129,35,
0.4,21_40,western,optimal,1.052310402254408,10,7,0.7,129,35,
0.5,21_40,western,optimal,1.2396460771704603,10,7,0.7,129,35,
0.6,21_40,western,optimal,1.2495272618645479,10,7,0.7,129,35,
0.7,21_40,western,optimal,1.2623052757122502,10,7,0.7,129,35,
0.8,21_40,western,optimal,1.2752428427067397,10,7,0.7,129,35,
0.9,21_40,western,optimal,1.2865538495637638,10,7,0.7,129,35,
1.0,21_40,western,optimal,1.2886618317809284,10,7,0.7,129,35,
0.0,41_60,high_fiber,optimal,0.008181065518773423,10,5,0.5,126,38,
0.1,41_60,high_fiber,optimal,0.22909842792456125,10,5,0.5,126,38,
