tradeoff_fraction,age_group,diet,status,community_growth_rate,n_organisms,n_growing_in_diet,fraction_growing_in_diet,applied_exchanges,missing_exchanges,note
0.0,20_40,high_fiber,optimal,0.005941909498460108,10,7,0.7,129,35,
0.1,20_40,high_fiber,optimal,0.23693148200849845,10,7,0.7,129,35,
0.2,20_40,high_fiber,optimal,0.47388623300010335,10,7,0.7,129,35,
0.3,20_40,high_fiber,optimal,0.7108254065180769,10,7,0.7,129,35,
0.4,20_40,high_fiber,optimal,0.9479764444568208,10,7,0.7,129,35,
0.5,20_40,high_fiber,optimal,1.1219541382063574,10,7,0.7,129,35,
0.6,20_40,high_fiber,optimal,1.1293944027654588,10,7,0.7,129,35,
0.7,20_40,high_fiber,optimal,1.1397128328826487,10,7,0.7,129,35,
0.8,20_40,high_fiber,optimal,1.1501052646051604,10,7,0.7,129,35,
0.9,20_40,high_fiber,optimal,1.160521494769408,10,7,0.7,129,35,
1.0,20_40,high_fiber,optimal,1.156312423855995,10,7,0.7,129,35,
0.0,20_40,western,optimal,0.004646006701436465,10,7,0.7,129,35,
0.1,20_40,western,optimal,0.2589338291935191,10,7,0.7,129,35,
0.2,20_40,western,optimal,0.5179128485668696,10,7,0.7,129,35,
0.3,20_40,western,optimal,0.7768791305428633,10,7,0.7,129,35,
0.4,20_40,western,optimal,1.0484441953355539,10,7,0.7,129,35,
0.5,20_40,western,optimal,1.2532573871533903,10,7,0.7,129,35,
0.6,20_40,western,optimal,1.2640823390682596,10,7,0.7,129,35,
0.7,20_40,western,optimal,1.2776699489532237,10,7,0.7,129,35,
0.8,20_40,western,optimal,1.2910344643927982,10,7,0.7,129,35,
0.9,20_40,western,optimal,1.3031609356638516,10,7,0.7,129,35,
1.0,20_40,western,optimal,1.301043152818504,10,7,0.7,129,35,
0.0,40_60,high_fiber,optimal,0.007789649944122151,10,5,0.5,126,38,
0.1,40_60,high_fiber,optimal,0.22625829123998573,10,5,0.5,126,38,
0.2,40_60,high_fiber,optimal,0.4525858133449284,10,5,0.5,126,38,
0.3,40_60,high_fiber,optimal,0.6788777499424973,10,5,0.5,126,38,
0.4,40_60,high_fiber,optimal,0.9051725178709942,10,5,0.5,126,38,
0.5,40_60,high_fiber,optimal,1.1317844767839587,10,5,0.5,126,38,
0.6,40_60,high_fiber,optimal,1.1990923108751903,10,5,0.5,126,38,
0.7,40_60,high_fiber,optimal,1.2210962599920376,10,5,0.5,126,38,
0.8,40_60,high_fiber,optimal,1.2481420170030584,10,5,0.5,126,38,
0.9,40_60,high_fiber,optimal,1.268980199509035,10,5,0.5,126,38,
1.0,40_60,high_fiber,optimal,1.3370534984492919,10,5,0.5,126,38,
0.0,40_60,western,optimal,0.008025988713650433,10,5,0.5,126,38,
0.1,40_60,western,optimal,0.25286540838629074,10,5,0.5,126,38,
0.2,40_60,western,optimal,0.5057955682871449,10,5,0.5,126,38,
0.3,40_60,western,optimal,0.7587043344744608,10,5,0.5,126,38,
0.4,40_60,western,optimal,1.0116064171730315,10,5,0.5,126,38,
0.5,40_60,western,optimal,1.2678239611345314,10,5,0.5,126,38,
0.6,40_60,western,optimal,1.3523733838891014,10,5,0.5,126,38,
0.7,40_60,western,optimal,1.3780073995895892,10,5,0.5,126,38,
0.8,40_60,western,optimal,1.403687995352508,10,5,0.5,126,38,
0.9,40_60,western,optimal,1.4241340690394124,10,5,0.5,126,38,
1.0,40_60,western,optimal,1.4841502414318617,10,5,0.5,126,38,
0.0,60_plus,high_fiber,optimal,0.008758674796029615,10,8,0.8,128,36,
0.1,60_plus,high_fiber,optimal,0.3197754179351995,10,8,0.8,128,36,
0.2,60_plus,high_fiber,optimal,0.6395607568844743,10,8,0.8,128,36,
0.3,60_plus,high_fiber,optimal,0.9593471117884464,10,8,0.8,128,36,
0.4,60_plus,high_fiber,optimal,1.2791315385281434,10,8,0.8,128,36,
0.5,60_plus,high_fiber,optimal,1.5989121453699684,10,8,0.8,128,36,
0.6,60_plus,high_fiber,optimal,1.9186076572468234,10,8,0.8,128,36,
0.7,60_plus,high_fiber,optimal,2.161136146116678,10,8,0.8,128,36,
0.8,60_plus,high_fiber,optimal,2.2803265390213965,10,8,0.8,128,36,
0.9,60_plus,high_fiber,optimal,2.397457661506933,10,8,0.8,128,36,
1.0,60_plus,high_fiber,optimal,2.5102440481893473,10,8,0.8,128,36,
0.0,60_plus,western,optimal,0.012560651211644206,10,8,0.8,128,36,
0.1,60_plus,western,optimal,0.33503334293192455,10,8,0.8,128,36,
0.2,60_plus,western,optimal,0.6710042700389504,10,8,0.8,128,36,
0.3,60_plus,western,optimal,1.0065119024268758,10,8,0.8,128,36,
0.4,60_plus,western,optimal,1.3420078048246489,10,8,0.8,128,36,
0.5,60_plus,western,optimal,1.6775032802406173,10,8,0.8,128,36,
0.6,60_plus,western,optimal,2.0137445359031823,10,8,0.8,128,36,
0.7,60_plus,western,optimal,2.3223795183667075,10,8,0.8,128,36,
0.8,60_plus,western,optimal,2.4485078993133778,10,8,0.8,128,36,
0.9,60_plus,western,optimal,2.5744545679352573,10,8,0.8,128,36,
1.0,60_plus,western,optimal,2.69963543240363,10,8,0.8,128,36,
